0,1502045
1,2399782
2,2396684
3,2393618
4,2390663
5,2387809
6,2384764
7,2381764
8,2378724
9,2375668
10,2372661
11,2369639
12,2366746
13,2363760
14,2360902
15,2357982
16,2355025
17,2351907
18,2349161
19,2346172
20,2343062
21,2340117
22,2337089
23,2333824
24,2330996
25,2327997
26,2324885
27,2321949
28,2319000
29,2316067
30,2312931
31,2310004
32,2307002
33,2303962
34,2300893
35,2297707
36,2294837
37,2291990
38,2289036
39,2286018
40,2283078
41,2280146
42,2277029
43,2274117
44,2271248
45,2268250
46,2265255
47,2262242
48,2259268
49,2256497
50,2253580
51,2250672
52,2247670
53,2244735
54,2241826
55,2238864
56,2235633
57,2232522
58,2229462
59,2226560
60,2223566
61,2220497
62,2217441
63,2214485
64,2211691
65,2208831
66,2205784
67,2202834
68,2199772
69,2196672
70,2193728
71,2190901
72,2187870
73,2184972
74,2181973
75,2178912
76,2175820
77,2173031
78,2170085
79,2167034
80,2164016
81,2160971
82,2158083
83,2155191
84,2152205
85,2149208
86,2146255
87,2143272
88,2140352
89,2137228
90,2134355
91,2131308
92,2128303
93,2125188
94,2122091
95,2119011
96,2116083
97,2113039
98,2110158
99,2107319
100,2104344
101,2101476
102,2098449
103,2098558
104,2095637
105,2095609
106,2092461
107,2092536
108,2089642
109,2089777
110,2086710
111,2086675
112,2083656
113,2083501
114,2080438
115,2080337
116,2077215
117,2077275
118,2074237
119,2074026
120,2070881
121,2070797
122,2067641
123,2067552
124,2064604
125,2064446
126,2061247
127,2061366
128,2058431
129,2058342
130,2055263
131,2055247
132,2052309
133,2052358
134,2049475
135,2049481
136,2046667
137,2046503
138,2043504
139,2043471
140,2040646
141,2040675
142,2037715
143,2037571
144,2034454
145,2034410
146,2031251
147,2031313
148,2028435
149,2028573
150,2025458
151,2025351
152,2022360
153,2022338
154,2019314
155,2019099
156,2016041
157,2016237
158,2013458
159,2013389
160,2010191
161,2010278
162,2007459
163,2007514
164,2004592
165,2004526
166,2001460
167,2001566
168,1998604
169,1998516
170,1995549
171,1995509
172,1992631
173,1992763
174,1989948
175,1989989
176,1986867
177,1986981
178,1983697
179,1983607
180,1980723
181,1980890
182,1978161
183,1978154
184,1975249
185,1975293
186,1972397
187,1972411
188,1969334
